date,regime,mu,sigma,delta,dispersion
2026-02-10,STRONG_BULL,0.1853,0.1296,0.0198,0.018
2026-02-11,STRONG_BULL,0.1824,0.1296,0.0198,0.0182
2026-02-12,STRONG_BULL,0.1679,0.1305,0.0198,0.0185
2026-02-13,STRONG_BULL,0.1844,0.1307,0.0198,0.0186
2026-02-17,STRONG_BULL,0.1822,0.1307,0.0198,0.0188
2026-02-18,STRONG_BULL,0.1822,0.1307,0.0198,0.0188
2026-02-19,STRONG_BULL,0.1717,0.1306,0.0198,0.0188
2026-02-20,STRONG_BULL,0.1735,0.1307,0.0198,0.0188
2026-02-23,STRONG_BULL,0.1656,0.1313,0.0198,0.0189
2026-02-24,STRONG_BULL,0.189,0.1307,0.0198,0.019
2026-02-25,STRONG_BULL,0.189,0.1307,0.0198,0.0192
